"name"                     ,"birth_date" ,"location"              ,"country"            ,"type"    ,"genre"
Coscu                      ,"1991-08-03" ,La Plata                ,Argentina            ,invitado  ,Hombre
Luis Ventura               ,"1956-01-14" ,São Paulo               ,Brasil               ,invitado  ,Hombre
Gordo Ventilador           ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Lucas Pratto               ,"1989-06-04" ,La Plata                ,Argentina            ,invitado  ,Hombre
Nazareno Casero            ,"1986-06-19" ,Luis Piedrabuena        ,Argentina            ,invitado  ,Hombre
Ariel Mantelman            ,"1990-04-19" ,?                       ,Argentina            ,invitado  ,Hombre
Fernanda Metilli           ,"1984-06-13" ,Tandil                  ,Argentina            ,invitado  ,Mujer
FMK                        ,"1999-01-27" ,Necochea                ,Argentina            ,invitado  ,Hombre
El Demente                 ,"1994-12-19" ,Loma Hermosa            ,Argentina            ,invitado  ,Hombre
Ariel Senosiain            ,"1979-07-03" ,?                       ,Argentina            ,invitado  ,Hombre
Diego Peretti              ,"1962-02-10" ,Balvanera               ,Argentina            ,invitado  ,Hombre
Juan Pablo Varsky          ,"1970-10-27" ,?                       ,Argentina            ,invitado  ,Hombre
Lit Killah                 ,"1999-10-04" ,Gonzalez Catán          ,Argentina            ,invitado  ,Hombre
Fran Gómez                 ,"1993-11-02" ,La Plata                ,Argentina            ,invitado  ,Hombre
Alexandra Kohan            ,"1971-01-29" ,Mar del Plata           ,Argentina            ,invitado  ,Mujer
Dillom                     ,"2000-12-05" ,Once                    ,Argentina            ,invitado  ,Hombre
Agustín Muzzu              ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Duki                       ,"1996-06-24" ,Almagro                 ,Argentina            ,invitado  ,Hombre
Federico D'elia            ,"1966-10-04" ,La Plata                ,Argentina            ,invitado  ,Hombre
Manuel Olivari             ,"1985-04-01" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Danny Ocean                ,"1992-05-05" ,Caracas                 ,Venezuela            ,invitado  ,Hombre
Palito                     ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Juan Marconi               ,"1987-10-17" ,?                       ,Argentina            ,invitado  ,Hombre
Matias Martin              ,"1970-10-27" ,?                       ,Argentina            ,invitado  ,Hombre
José Montesano             ,"1971-01-23" ,Olavarría               ,Argentina            ,invitado  ,Hombre
Saramalacara               ,"2000-11-08" ,CABA                    ,Argentina            ,invitado  ,Hombre
Grego Rosselló             ,"1991-08-13" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Unicornio                  ,"1999-06-07" ,Villa Crespo            ,Argentina            ,invitado  ,Hombre
Topa                       ,"1975-10-11" ,Caseros                 ,Argentina            ,invitado  ,Hombre
BB Asul                    ,"1997-06-26" ,?                       ,Argentina            ,invitado  ,Hombre
Migue Granados             ,"1986-09-02" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Mono de Kapanga            ,"1969-04-12" ,Lomas de Zamora         ,Argentina            ,invitado  ,Hombre
Agustín Bernasconi (MYA)   ,"1996-10-15" ,Rio Tercero             ,Argentina            ,invitado  ,Hombre
Máximo Espíndola (MYA)     ,"1994-12-03" ,San Miguel de Tucumán   ,Argentina            ,invitado  ,Hombre
Nicolás Villalba           ,"1999-10-23" ,Flores                  ,Argentina            ,invitado  ,Hombre
Facundo Campazzo           ,"1991-03-23" ,Córdoba                 ,Argentina            ,invitado  ,Hombre
Louta                      ,"1994-06-22" ,CABA                    ,Argentina            ,invitado  ,Hombre
Davo Xeneize               ,"2002-12-04" ,CABA                    ,Argentina            ,invitado  ,Hombre
Gaspar Benegas             ,"1978-01-07" ,El Bolsón               ,Argentina            ,invitado  ,Hombre
Fantino                    ,"1971-09-26" ,San Vicente             ,Argentina            ,invitado  ,Hombre
Gonzalo Heredia            ,"1982-03-12" ,Munro                   ,Argentina            ,invitado  ,Hombre
Sebastián Varela del Río   ,"1987-06-11" ,Mataderos               ,Argentina            ,invitado  ,Hombre
Javier Lanza               ,"1.0"        ,Luis Guillón            ,Argentina            ,invitado  ,Hombre
Ima Rodriguez              ,"1996-03-05" ,?                       ,Argentina            ,invitado  ,Hombre
Diego Latorre              ,"1969-08-04" ,Belgrano                ,Argentina            ,invitado  ,Hombre
Valentin Torres Erwerle    ,"2004-12-08" ,?                       ,Argentina            ,invitado  ,Hombre
Julián Kartun              ,"1983-11-07" ,Villa Crespo            ,Argentina            ,invitado  ,Hombre
Hilda Lizarazu             ,"1963-10-12" ,Curuzú Cuatiá           ,Argentina            ,invitado  ,Mujer
Violeta Urtizberea         ,"1985-02-19" ,?                       ,Argentina            ,invitado  ,Mujer
Elio Rossi                 ,"1963-05-04" ,Bell Ville              ,Argentina            ,invitado  ,Hombre
Nicolás Laprovittola       ,"1990-01-31" ,Morón                   ,Argentina            ,invitado  ,Hombre
Florian                    ,"1995-05-11" ,Boedo                   ,Argentina            ,invitado  ,Hombre
Carlos Maslatón            ,"1958-12-19" ,Villa Santa Rita        ,Argentina            ,invitado  ,Hombre
RusherKing                 ,"2000-05-20" ,Santiago del Estero     ,Argentina            ,invitado  ,Hombre
Goycoechea                 ,"1963-10-17" ,Zárate                  ,Argentina            ,invitado  ,Hombre
Zambayonny                 ,"1973-09-08" ,CABA                    ,Argentina            ,invitado  ,Hombre
Piti Fernández             ,"1982-11-14" ,Caballito               ,Argentina            ,invitado  ,Hombre
Diego Ripoll               ,"1974-01-13" ,Ramos Mejía             ,Argentina            ,invitado  ,Hombre
Benjamín Amadeo            ,"1984-04-22" ,?                       ,Argentina            ,invitado  ,Hombre
Clemente Cancela           ,"1977-10-10" ,Caballito               ,Argentina            ,invitado  ,Hombre
Luis Rubio                 ,"1965-11-19" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Juariu                     ,"1986-01-11" ,Tucumán                 ,Argentina            ,invitado  ,Mujer
Peto Menahem               ,"1970-02-28" ,?                       ,Argentina            ,invitado  ,Hombre
Huevo Rondina              ,"1971-11-03" ,San Antonio de Padua    ,Argentina            ,invitado  ,Hombre
Hernán Casciari            ,"1971-03-16" ,Mercedes                ,Argentina            ,invitado  ,Hombre
Gastón Sardelli (Airbag)   ,"1984-04-18" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Patricio Sardelli (Airbag) ,"1986-01-26" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Guido Sardelli (Airbag)    ,"1988-12-05" ,Don Torcuato            ,Argentina            ,invitado  ,Hombre
Chino Leunis               ,"1980-09-09" ,Ramos Mejía             ,Argentina            ,invitado  ,Hombre
Emmanuel Horvilleur        ,"1975-01-02" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Sebastián De Caro          ,"1975-12-15" ,San Telmo               ,Argentina            ,invitado  ,Hombre
Delfina Pignatello         ,"2000-04-19" ,San Isidro              ,Argentina            ,invitado  ,Mujer
Nati Carulias              ,"1975-10-19" ,Lugano                  ,Argentina            ,invitado  ,Mujer
Leo Gabes                  ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Adrián Lacroix             ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Cae                        ,"1969-10-20" ,Caballito               ,Argentina            ,invitado  ,Hombre
Paulina Cocina             ,"1976-07-22" ,Quilmes                 ,Argentina            ,invitado  ,Mujer
José María Listorti        ,"1973-03-04" ,Turdera                 ,Argentina            ,invitado  ,Hombre
Juan Carlos Baglietto      ,"1955-06-14" ,Rosario                 ,Argentina            ,invitado  ,Hombre
El Bananero                ,"1976-09-12" ,Nueva Jersey            ,EE.UU                ,invitado  ,Hombre
Sergio Massa               ,"1972-04-28" ,San Martín              ,Argentina            ,invitado  ,Hombre
Roberto Moldavsky          ,"1962-09-12" ,Once                    ,Argentina            ,invitado  ,Hombre
Mariano Llinás             ,"1975-02-10" ,?                       ,Argentina            ,invitado  ,Hombre
Pablo Giralt               ,"1974-04-05" ,Venado Tuerto           ,Argentina            ,invitado  ,Hombre
Felipe Pigna               ,"1959-05-29" ,Mercedes                ,Argentina            ,invitado  ,Hombre
Gastón Edul                ,"1994-12-31" ,San Cristóbal           ,Argentina            ,invitado  ,Hombre
José Chatruc               ,"1976-11-09" ,Bolívar                 ,Argentina            ,invitado  ,Hombre
Martín Garabal             ,"1983-11-07" ,CABA                    ,Argentina            ,invitado  ,Hombre
Fede Bareiro               ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Ruben Darío Insúa          ,"1961-04-17" ,Parque Chacabuco        ,Argentina            ,invitado  ,Hombre
Luken                      ,"1997-03-25" ,?                       ,Argentina            ,invitado  ,Hombre
Big Ari                    ,"1977-05-04" ,Berazategui             ,Argentina            ,invitado  ,Hombre
Gastón Pauls               ,"1972-01-17" ,Almagro                 ,Argentina            ,invitado  ,Hombre
Daniel Hendler             ,"1976-01-03" ,Montevideo              ,Uruguay              ,invitado  ,Hombre
Chapu Nocioni              ,"1979-11-30" ,Santa Fé                ,Argentina            ,invitado  ,Hombre
Franco Pisso               ,"1994-02-13" ,Santa Fé                ,Argentina            ,invitado  ,Hombre
Juanita Groisman           ,"1996-08-06" ,CABA                    ,Argentina            ,invitado  ,Mujer
La Cobra                   ,"1998-09-08" ,?                       ,Argentina            ,invitado  ,Hombre
Mariano Martinez           ,"1978-12-05" ,La Boca                 ,Argentina            ,invitado  ,Hombre
Nachoide                   ,"2000-05-24" ,Santa Fé                ,Argentina            ,invitado  ,Hombre
Sofia Martínez             ,"1993-05-07" ,?                       ,Argentina            ,invitado  ,Mujer
Caballeros de la Quema     ,"1.0"        ,Morón                   ,Argentina            ,invitado  ,Hombre
Nati Jota                  ,"1994-05-26" ,?                       ,Argentina            ,invitado  ,Mujer
A$epto                     ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Turco García               ,"1963-08-24" ,Lanús                   ,Argentina            ,invitado  ,Hombre
Carolo Vázquez             ,"1993-04-29" ,CABA                    ,Argentina            ,invitado  ,Hombre
Santi Korovsky             ,"1985-02-26" ,?                       ,Argentina            ,invitado  ,Hombre
Augusto Batalla            ,"1996-04-30" ,Hurlingam               ,Argentina            ,invitado  ,Hombre
Juanse                     ,"1962-06-03" ,Villa Devoto            ,Argentina            ,invitado  ,Hombre
Santi Motorizado           ,"1980-05-19" ,La Plata                ,Argentina            ,invitado  ,Hombre
Trinche                    ,"1997-12-24" ,?                       ,Argentina            ,invitado  ,Hombre
Fernando Signorini         ,"1950-12-07" ,Lincoln                 ,Argentina            ,invitado  ,Hombre
BM                         ,"1999-08-27" ,Chivilcoy               ,Argentina            ,invitado  ,Hombre
Laureano Staropoli         ,"1993-02-27" ,La Plata                ,Argentina            ,invitado  ,Hombre
Mariano Peluffo            ,"1971-04-01" ,Floresta                ,Argentina            ,invitado  ,Hombre
Nancy Dupláa               ,"1969-12-03" ,Olivos                  ,Argentina            ,invitado  ,Mujer
Rodolfo De Paoli           ,"1978-10-26" ,CABA                    ,Argentina            ,invitado  ,Hombre
Maru Botana                ,"1968-08-17" ,Belgrano                ,Argentina            ,invitado  ,Mujer
Bizarrap                   ,"1998-08-29" ,Ramos Mejía             ,Argentina            ,invitado  ,Hombre
Jorge Porcel Jr.           ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Gabriel Schultz            ,"1966-07-21" ,La Paternal             ,Argentina            ,invitado  ,Hombre
Acru                       ,"1997-06-04" ,Tucumán                 ,Argentina            ,invitado  ,Hombre
Julio Leiva                ,"1978-04-03" ,Isidro Casanova         ,Argentina            ,invitado  ,Hombre
Esteban Lamothe            ,"1977-04-30" ,Florentino Ameghino     ,Argentina            ,invitado  ,Hombre
Juanchi Baleirón           ,"1965-03-11" ,Santa Fé                ,Argentina            ,invitado  ,Hombre
Natalie Pérez              ,"1986-11-04" ,Villa Urquiza           ,Argentina            ,invitado  ,Mujer
Maravilla Martínez         ,"1975-02-21" ,Quilmes                 ,Argentina            ,invitado  ,Hombre
Laucha Luchetti            ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Luis Scola                 ,"1980-04-30" ,CABA                    ,Argentina            ,invitado  ,Hombre
Pimpeano                   ,"1998-02-05" ,Parque Chacabuco        ,Argentina            ,invitado  ,Hombre
Joaco Lopez                ,"1997-07-23" ,Wilde                   ,Argentina            ,invitado  ,Hombre
Charo Lopez                ,"1980-05-06" ,?                       ,Argentina            ,invitado  ,Mujer
Momo                       ,"1989-04-11" ,Tolosa                  ,Argentina            ,invitado  ,Hombre
Frankkaster                ,"1997-04-17" ,La Plata                ,Argentina            ,invitado  ,Hombre
Esteban Edul               ,"1984-11-10" ,San Cristóbal           ,Argentina            ,invitado  ,Hombre
Flavio Azzaro              ,"1985-11-12" ,Avellaneda              ,Argentina            ,invitado  ,Hombre
Andrés Ducatenzeiler       ,"1961-01-27" ,Avellaneda              ,Argentina            ,invitado  ,Hombre
Radagast                   ,"1983-09-15" ,Bahía Blanca            ,Argentina            ,invitado  ,Hombre
Fabricio Oberto            ,"1975-03-21" ,Las Varillas            ,Argentina            ,invitado  ,Hombre
Sebastián Wainraich        ,"1974-05-23" ,Villa Crespo            ,Argentina            ,invitado  ,Hombre
Mariano Zabaleta           ,"1978-02-28" ,Tandil                  ,Argentina            ,invitado  ,Hombre
Juli Savioli               ,"2002-01-24" ,Mar del Plata           ,Argentina            ,invitado  ,Mujer
Facundo Sava               ,"1974-03-07" ,Ituzaingó               ,Argentina            ,invitado  ,Hombre
Miguel Simón               ,"1965-07-23" ,Caballito               ,Argentina            ,invitado  ,Hombre
Emiliano Brancciari        ,"1977-10-28" ,Munro                   ,Argentina            ,invitado  ,Hombre
Franco Colapinto           ,"2003-05-27" ,Pilar                   ,Argentina            ,invitado  ,Hombre
Chanchi Estévez            ,"1977-06-02" ,?                       ,Argentina            ,invitado  ,Hombre
Seleneitor                 ,"1998-12-13" ,?                       ,Argentina            ,invitado  ,Mujer
Iván Schargrodsky          ,"1989-03-17" ,Bahía Blanca            ,Argentina            ,invitado  ,Hombre
Mauro Albarracín           ,"1997-05-31" ,Laferrere               ,Argentina            ,invitado  ,Hombre
YSY A                      ,"1998-07-12" ,Caballito               ,Argentina            ,invitado  ,Hombre
Alfredo Casero             ,"1962-11-12" ,Vicente López           ,Argentina            ,invitado  ,Hombre
Martín Kohan               ,"1967-01-24" ,Almagro                 ,Argentina            ,invitado  ,Hombre
Cristian Castro            ,"1974-12-08" ,Ciudad de México        ,México               ,invitado  ,Hombre
Nicki Nicole               ,"2000-08-25" ,Rosario                 ,Argentina            ,invitado  ,Mujer
Sebastián Porrini          ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Axel                       ,"1977-01-01" ,Rafael Calzada          ,Argentina            ,invitado  ,Hombre
Campi                      ,"1969-02-10" ,Parque Patricios        ,Argentina            ,invitado  ,Hombre
Donato de Santis           ,"1964-03-05" ,Milán Italia            ,Argentina            ,invitado  ,Hombre
Karina                     ,"1986-01-30" ,Vicente López           ,Argentina            ,invitado  ,Mujer
Emiliano Coroniti          ,"1983-02-15" ,Almagro                 ,Argentina            ,invitado  ,Hombre
Julio Lamas                ,"1964-06-09" ,San Martín              ,Argentina            ,invitado  ,Hombre
Tuli Acosta                ,"2001-06-20" ,Rio Ceballos            ,Argentina            ,invitado  ,Mujer
Chapu Martínez             ,"1994-05-03" ,?                       ,Argentina            ,invitado  ,Hombre
Coker                      ,"1997-07-10" ,?                       ,Argentina            ,invitado  ,Hombre
Khea                       ,"2000-04-13" ,Virreyes                ,Argentina            ,invitado  ,Hombre
Asan                       ,"2000-03-10" ,?                       ,Argentina            ,invitado  ,Hombre
Juan Minujín               ,"1975-05-20" ,Flores                  ,Argentina            ,invitado  ,Hombre
Gastón Recondo             ,"1973-05-04" ,CABA                    ,Argentina            ,invitado  ,Hombre
Puma Goity                 ,"1960-10-23" ,El Palomar              ,Argentina            ,invitado  ,Hombre
Marcelo Toscano            ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Araceli González           ,"1967-06-19" ,Villa Lugano            ,Argentina            ,invitado  ,Mujer
Martin Cirio               ,"1984-06-13" ,Parque Patricios        ,Argentina            ,invitado  ,Mujer
Luquitas Gutierrez         ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
WOS                        ,"1998-01-23" ,Chacarita               ,Argentina            ,invitado  ,Hombre
Cumbio                     ,"1991-05-06" ,Corrientes              ,Argentina            ,invitado  ,Hombre
Lalo Maradona              ,"1966-11-29" ,Lanús                   ,Argentina            ,invitado  ,Hombre
Mateo Sujatovich           ,"1991-01-18" ,Belgrano                ,Argentina            ,invitado  ,Hombre
El Duende                  ,"1986-12-16" ,?                       ,Argentina            ,invitado  ,Hombre
De la Ghetto               ,"1984-09-17" ,Nueva York              ,EE.UU                ,invitado  ,Hombre
Ca7riel                    ,"1993-12-05" ,La Paternal             ,Argentina            ,invitado  ,Hombre
Paco Amoroso               ,"1993-08-17" ,La Paternal             ,Argentina            ,invitado  ,Hombre
Marcos Giles *             ,"1.0"        ,La Plata                ,Argentina            ,invitado  ,Hombre
Zaina                      ,"2003-09-04" ,?                       ,Argentina            ,invitado  ,Hombre
Morena Beltrán             ,"1999-01-29" ,Haedo                   ,Argentina            ,invitado  ,Mujer
Yeti Bruta Cocina          ,"1986-02-11" ,Alejandro Korn          ,Argentina            ,invitado  ,Mujer
Tanque Pavone              ,"1982-05-27" ,Tres Sargentos          ,Argentina            ,invitado  ,Hombre
Ibai                       ,"1995-03-26" ,Bilbao                  ,España               ,invitado  ,Hombre
Nachito Saralegui          ,"1992-04-01" ,La Plata                ,Argentina            ,invitado  ,Hombre
Wanchope Ábila             ,"1989-10-14" ,Córdoba Capital         ,Argentina            ,invitado  ,Hombre
Maligno Torres             ,"1995-03-28" ,Santa Cruz de la Sierra ,Bolivia              ,invitado  ,Hombre
Marcelo Benedetto          ,"1966-08-06" ,?                       ,Argentina            ,invitado  ,Hombre
Cofla24CM                  ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Spreen                     ,"2000-10-11" ,Santo Tomé              ,Argentina            ,invitado  ,Hombre
Leandro Ziccarelli         ,"1987-05-26" ,La Plata                ,Argentina            ,invitado  ,Hombre
Lucas Blondel              ,"1996-09-14" ,?                       ,Argentina            ,invitado  ,Hombre
Emilio Moreira             ,"1979-10-15" ,?                       ,Argentina            ,invitado  ,Hombre
Ruffo                      ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Tomas Mazza                ,"2000-04-16" ,?                       ,Argentina            ,invitado  ,Hombre
Gustavo Fernández          ,"1994-01-21" ,Rio Tercero             ,Argentina            ,invitado  ,Hombre
Pablo Granados             ,"1965-09-11" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Fede Coria                 ,"1992-03-09" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Pablo Migliore             ,"1982-01-27" ,Lomas del Mirador       ,Argentina            ,invitado  ,Hombre
César Luis Merlo           ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Mike Máquina del Mal       ,"1993-07-31" ,?                       ,México               ,invitado  ,Hombre
Will Futbolito             ,"2000-06-29" ,?                       ,República Dominicana ,invitado  ,Hombre
Beto Casella               ,"1960-03-29" ,Haedo                   ,Argentina            ,invitado  ,Hombre
Skone                      ,"1989-12-27" ,Málaga                  ,España               ,invitado  ,Hombre
Walter Nelson              ,"1950-08-16" ,Montevideo              ,Uruguay              ,invitado  ,Hombre
Alejandro Fabbri           ,"1956-04-28" ,Caballito               ,Argentina            ,invitado  ,Hombre
Marti Benza                ,"2000-08-26" ,Lomas de Zamora         ,Argentina            ,invitado  ,Mujer
Neo Pistea                 ,"1994-10-05" ,Merlo                   ,Argentina            ,invitado  ,Hombre
Nico Vázquez               ,"1977-06-12" ,Olivos                  ,Argentina            ,invitado  ,Hombre
Furia                      ,"1991-03-18" ,Belgrano                ,Argentina            ,invitado  ,Mujer
Diego Leuco                ,"1989-10-16" ,Recoleta                ,Argentina            ,invitado  ,Hombre
Gustavo Costas             ,"1963-02-28" ,Avellaneda              ,Argentina            ,invitado  ,Hombre
Stiffy                     ,"1.0"        ,Merlo                   ,Arentina             ,invitado  ,Hombre
AgusFortnite2008           ,"1.0"        ,Ramos Mejía             ,Arentina             ,invitado  ,Hombre
Zell                       ,"2005-02-25" ,?                       ,Arentina             ,invitado  ,Hombre
TurroBaby                  ,"2007-02-12" ,Balvanera               ,Arentina             ,invitado  ,Hombre
Luquitas Rodriguez         ,"1992-03-21" ,CABA                    ,Argentina            ,staff     ,Hombre
Germán Beder               ,"1983-05-24" ,Bahía Blanca            ,Argentina            ,staff     ,Hombre
Alfredo Montés de Oca      ,"1980-09-17" ,CABA                    ,Argentina            ,staff     ,Hombre
Roberto Galati             ,"1984-02-20" ,Remedios de Escalada    ,Argentina            ,staff     ,Hombre
Joaquín Cavanna            ,"1982-04-17" ,Chacarita               ,Argentina            ,staff     ,Hombre
Tomás Rebord               ,"1993-07-06" ,Almagro                 ,Argentina            ,frecuente ,Hombre
Juan Igal                  ,"1999-07-07" ,?                       ,Argentina            ,frecuente ,Hombre
Tomás Kirzner              ,"1998-08-17" ,Recoleta                ,Argentina            ,frecuente ,Hombre
Goncho Banzas              ,"1995-09-14" ,?                       ,Argentina            ,frecuente ,Hombre
Alexis Válido              ,"1984-07-17" ,Rosario                 ,Argentina            ,frecuente ,Hombre
Juan Castro                ,"1981-01-29" ,?                       ,Argentina            ,frecuente ,Hombre
Ricky Blanco               ,"1967-06-25" ,?                       ,Argentina            ,frecuente ,Hombre
